Название,Цена (₸),Категория,Партнёр,Дата,Город
"Квиз, плиз! (караоке) #9",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",12.07.2025 18:00:00,astana
"Квиз, плиз! (новички) #633",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",11.07.2025 19:30:00,astana
"Квиз, плиз! Гарри Поттер (Хогвартс) 5 курс",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",10.07.2025 20:00:00,astana
"Квиз, плиз! #633",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",09.07.2025 20:00:00,astana
"Квиз, плиз! (кино и музыка) новички #31",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",08.07.2025 18:00:00,astana
Лекция и мастер-класс по истории искусства «Истоки авангарда: DADA»,7 000,Мастер-классы,Salt (м.п),05.07.2025 15:00:00,astana
Мастер-класс по акварельной живописи,19 000,Мастер-классы,Salt (м.п),05.07.2025 10:30:00,astana
Импровизационное разговорное шоу «Психотипичная комедия»,8 000,Stand up,Алексей Стендапы,17.07.2025 20:30:00,astana
Семинар Максима Ильяхова «Соцсети для бизнеса»,10 000,Образование,"Гульмира (М,П)",31.07.2025 19:00:00,astana
"Квиз, плиз! (новички) #631",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",04.07.2025 19:30:00,astana
"Квиз, плиз! (большая игра) #4",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",06.07.2025 18:00:00,astana
"Квиз, плиз! (назад в 21 век) #1",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",05.07.2025 18:00:00,astana
"Бинго, плиз! by Квиз, плиз! #2",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",04.07.2025 19:30:00,astana
"Квиз, плиз! (Кино и музыка) #79",3 000,"Игры (квизы, мафия и другое)","Евгений Квиз, плизз Астана",03.07.2025 20:00:00,astana
Концерт Jennifer Lopez,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,astana
Open Mic на английском от Comedy Point и English Comedy Kz,6 000,Stand up,Шугыла ИП СШБ,19.07.2025 19:00:00,astana
Датский техно рейв с Mama Snake,10 000,Вечеринки,"marat (М.П,)",04.07.2025 20:00:00,astana
Разговорное шоу «Что вас бесит» (Stand Up Bar «Pozitiv»),1 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,04.07.2025 22:30:00,astana
Черный стендап (Stand Up Bar «Pozitiv»),3 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,05.07.2025 21:30:00,astana
Фестиваль Ormanya Magic,2 000,Фестивали,Фестиваль Ormania Magic,05.07.2025 21:00:00,astana
Wyndham Fest: 2000,10 000,Фестивали,Малика (М.П.),06.07.2025 20:00:00,astana
Комедийное шоу «Чотам?»,4 000,Stand up,Максат Stand Up_Almaty,11.07.2025 19:00:00,astana
Женский стендап (Stand Up Bar «Pozitiv»),2 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,05.07.2025 20:00:00,astana
Импровизационное стендап-шоу «Чистосердечное» (Stand Up Bar «Pozitiv»),3 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,05.07.2025 19:00:00,astana
Тройной стендап (Stand Up Bar «Pozitiv»),2 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,06.07.2025 20:00:00,astana
Пикник by Partners,17 500,Фестивали,partnersmedia М.П. -  И.П,26.07.2025 15:00:00,astana
Сборный стендап (Stand Up Bar «Pozitiv»),2 000,Мероприятия в стендап-баре Pozitiv,Екатерина Pozitiv Бар,03.07.2025 20:00:00,astana
Сольный-концерт Артура Шамгунова «Больно смешно» в Астане,4 000,Stand up,Туры ИП «ALEM COMEDY»,09.09.2025 19:30:00,astana
Литературно-музыкальный спектакль «Хулиган и классик» в Астане,15 000,Театр,Юлия (М.П.),27.11.2025 18:00:00,astana
Сольный стендап-концерт Алексея Квашонкина в Астане,6 000,Stand up,Туры ИП «ALEM COMEDY»,29.10.2025 19:30:00,astana
Экскурсия в главную мечеть страны «Жемчужина степи»,2 500,Экскурсии и туры,Айжан ИП AOMI TRAVEL,05.07.2025 15:00:00,astana
Кинопоказ в автокинотеатре,2 500,Кино,Автокинотеатр,03.07.2025 21:30:00,astana
Сольный стендап концерт Дамира Нурсеитова,4 000,Stand up,Туры ИП «ALEM COMEDY»,27.07.2025 19:30:00,shymkent
Двойной стендап-концерт Ербола Бекишева и Сырыма Искакова,4 000,Stand up,Виталий Stand Up Soultustik,13.07.2025 20:00:00,shymkent
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,shymkent
"Квиз, плиз! (music party) #20",3 000,Вечеринки в заведениях,Квиз Плиз Шымкент,04.07.2025 19:30:00,shymkent
"Квиз, плиз! (аниме) #5",3 000,Вечеринки в заведениях,Квиз Плиз Шымкент,06.07.2025 19:30:00,shymkent
Рахат Fest,10 000,Фестивали,Полина Рахат фест,19.07.2025 16:00:00,shymkent
Импров Comedy Баттл: Караганда против Темиртау,1 500,Stand Up,Рустам Абильдин (П.М),06.07.2025 20:30:00,karaganda
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,karaganda
Сольный стендап-концерт Алексея Квашонкина в Караганде,6 000,Stand Up,Туры ИП «ALEM COMEDY»,30.10.2025 19:00:00,karaganda
Вечер настольных игр: Турнир Challengers,3 000,Развлечения,Азат Mount Orta,03.07.2025 16:00:00,aktobe
"Акустический концерт LieLie «Previous 1, 2, 3… 121,122,123 Next»",1 000,Концерты,Азат Mount Orta,05.07.2025 20:00:00,aktobe
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,aktobe
Квартирник Mantra Yoga,3 000,Концерты,Азат Mount Orta,04.07.2025 18:30:00,aktobe
Пляжный фестиваль Aqtau Summer Fest,13 000,Фестивали,Madina (М.П.),06.07.2025 20:00:00,aktau
Пикник by Partners,12 600,Фестивали,partnersmedia М.П. -  И.П,02.08.2025 17:00:00,aktau
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,aktau
"Тур «Дыхание веков: Бекет Ата, Шопан Ата и панорамы Бозжыра» от «Кеттык Мангыстау»",17 500,Туризм,kettik mangystau,03.07.2025 09:45:00,aktau
Тур «Сквозь время и камень: Бозжыра и красный каньон» от «Кеттык Мангыстау»,17 500,Туризм,kettik mangystau,03.07.2025 10:45:00,aktau
"Тур «Laguna Fest: кемпинг, солнце, свобода» от «Кеттык Мангыстау»",19 500,Туризм,kettik mangystau,05.07.2025 13:30:00,aktau
Тур «Солнце в рюкзаке: Laguna Lite» от «Кеттык Мангыстау»,15 500,Туризм,kettik mangystau,03.07.2025 13:30:00,aktau
Тур «Бекет Ата – Шопан Ата – Бозжыра (верхняя панорама)»,15 500,Туризм,Мангыстау Сафари,03.07.2025 08:45:00,aktau
Тур «3 локации за 1 день — Бозжыра 2 верхние панорамы и Кызылкуп (Тирамису)»,15 500,Туризм,Мангыстау Сафари,03.07.2025 10:45:00,aktau
Тур «Затерянный мир Мангистау» от «Кеттык Мангыстау»,20 000,Туризм,Мангыстау Сафари,03.07.2025 08:45:00,aktau
Тур «Мангистау за гранью: 5 локации — 1 день» от «Кеттык Мангыстау»,27 000,Туризм,Мангыстау Сафари,05.07.2025 07:45:00,aktau
Тур «Тени веков: Ыбык и Караман Ата» от «Кеттык Мангыстау»,13 500,Туризм,Мангыстау Сафари,03.07.2025 12:45:00,aktau
Open-Air Drift-show,7 000,Концерты,Азамат Open-Air Drift-show,06.07.2025 12:00:00,kokshetau
Двойной стендап-концерт Ербола Бекишева и Сырыма Искакова,4 000,Stand Up,Виталий Stand Up Soultustik,12.07.2025 20:00:00,taraz
Концерт Jennifer Lopez в Астане,12 941,Концерты,Kompas Tour,01.08.2025 19:00:00,uralsk
